CODIGO,DESCRIPCION,COSTO,NEGOCIO,LLEVAR,COLOCADO,BOD,STK,INV,PROVEEDOR,MARCA,CATEGORIA
DW00971GBN,ASTRO/ZAFARI 98-05 00970),,"$1,200.00","$1,400.00","$1,600.00",2,,2,CRINAMEX,CHEVROLET,PARABRISAS
DW01443GTN,ASTRA 01-06 SD/HB 2 Y 4 PTAS,,"$1,090.00","$1,240.00","$1,390.00",5,,5,CRINAMEX,CHEVROLET,PARABRISAS
DW01695GBN,AVEO SEDAN /HB 06-12,,"$1,170.00","$1,240.00","$1,450.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW02076GBN,AVEO SEDAN /HB  4PTS 06-12 /12-17,,"$1,350.00","$1,450.00","$1,550.00",5,,5,CITSA,CHEVROLET,PARABRISAS
DW02477GTN,AVEO 4 PTS SEDAN 2019-2020 $2100 INST,,"$1,720.00","$1,870.00","$2,100.00",4,,4,CITSA,CHEVROLET,PARABRISAS
DW01402GBY,AZTEK 4PTS  01-06,,"$2,670.00","$2,720.00","$2,970.00",,,0,CITSA,CHEVROLET,PARABRISAS
DW01712GTN,ACADIA 4 PUERTAS 07-11,,"$1,400.00","$1,550.00","$1,700.00",3,,,,CHEVROLET,PARABRISAS
DW01761GTN,CAPTIVA SPOR 4PTS  08-16,,"$1,550.00","$1,700.00","$1,850.00",5,,5,CITSA,CHEVROLET,PARABRISAS
DWCAPGTN,CAPTIVA 4 PTS SEDAN 2021-2022,,"$2,100.00","$2,200.00","$2,500.00",1,,1,,,
DW01074 GBN,CAVALIER 2PTS 90-94,,$900.00,"$1,000.00","$1,100.00",7,,7,CRINAMEX,CHEVROLET,PARABRISAS
FW001021    ,CAVALIER 4PTS 90-94,,"$1,250.00","$1,350.00","$1,450.00",4,,4,CRIN/XIN,CHEVROLET,PARABRISAS
DW01269 GBY,CAVALIER /SUNFIRE2 PTS 95-00,,"$1,800.00","$1,900.00","$2,100.00",1,,1,CRIN/XIN,CHEVROLET,PARABRISAS
DW01270GBN,CAVALIER /SUNFIRE 4PTS   95-00,,"$1,900.00","$2,000.00","$2,200.00",2,,2,CRINAMEX,CHEVROLET,PARABRISAS
DW01192 GTY,CAVALIER /SUNFIRE 2PTS   95-00,,"$1,950.00","$2,000.00","$2,250.00",5,,5,CRINAMEX,CHEVROLET,PARABRISAS
DW00842GBN,CHEVY NOVA 2 PTAS. 75-78 C/ANTENA  DW00843,$585.00,"$1,200.00","$1,400.00","$1,600.00",3,,3,CITSA,CHEVROLET,PARABRISAS
DW00844GBN,CHEVY NOVA 4 PTAS. 75-78 C/ANTENA       DW00845,,"$1,200.00","$1,400.00","$1,600.00",3,,3,CITSA,CHEVROLET,PARABRISAS
FW00779 GBN,CHEVY SWIN/JOY/MONZA/WAGON 2/4 PTAS 94-08,$560.00,$910.00,"$1,030.00","$1,150.00",5,,5,CITSA,CHEVROLET,PARABRISAS
FW00779CLN,CHEVY SWIN/JOY/MONZA/WAGON 2/4 PTAS 94-08,,$560.00,$620.00,$900.00,,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW00975GTN,CHEVY NOVA 4PTAS HB 85-88,,$850.00,$930.00,"$1,180.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW00763GBN,CHEVROLET VAN 70-75 (CON GOMA) DW00852,$632.00,"$1,130.00","$1,210.00","$1,550.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW00898GBN,CITATION I/II 2/4 PTAS 84-89,,$910.00,$960.00,"$1,200.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW00871GBN,CAPRICE C/ANTENA77-81,$658.00,"$1,000.00","$1,100.00","$1,200.00",1,,1,CITSA,CHEVROLET,PARABRISAS
DW01533GBY,COLORADO 4 Pts 04-12,,"$1,300.00","$1,380.00",      ,,,0,CRINAMEX,CHEVROLET,PARABRISAS
,COLORADO ??????? ESQUINAS SUPERIORES REDONDAS,,,,,1,,1,KRISOLMEX,CHEVROLET,PARABRISAS
DW01502GBN,CORSA 02-08/ TORNADO 06-11  SOMBREADO (TAMBIEN PARA CORSA HATCHBACK),$700.00,"$1,050.00","$1,170.00","$1,320.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01834GBN,CRUZE SEDAN /LIMITED 4 PTAS 10-16,,"$1,700.00","$1,780.00","$2,030.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01005GBN ,CUTLAS 4 PTS SD/WAGON/ 82-89,,"$1,000.00","$1,100.00","$1,200.00",4,,4,CRINAMEX,CHEVROLET,PARABRISAS
DW00790CLN,DINA CAMION PICK UP Y DOBLE CABINA 69-75,,"$1,170.00","$1,250.00","$1,450.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01265GBN,EXPRESS VAN 96-11,$877.00,"$1,580.00","$1,730.00","$1,930.00",4,,4,CITSA,CHEVROLET,PARABRISAS
DW01583GBN,EQUINOX 05-09 4 PTS,,"$1,500.00","$1,600.00","$1,700.00",4,,4,CITSA,CHEVROLET,PARABRISAS
DW00853GBN,G-SERIES VAN 70-80 (CON GOMA),,"$1,150.00","$1,250.00","$1,400.00",,,0,,CHEVROLET,PARABRISAS
DW00925GTN,G-SERIE VAN 81-89 (PEGADO),,$920.00,"$1,020.00","$1,250.00",,,0,,CHEVROLET,PARABRISAS
DW01288GBN,GRAND PRIX 2 PTAS 97-02,,"$1,550.00","$1,650.00","$1,900.00",,,0,,CHEVROLET,PARABRISAS
DW01330GBN,GRAND AM 2/4 PTS 99-05,,"$1,450.00","$1,550.00","$1,800.00",,,0,,CHEVROLET,PARABRISAS
FW00422GTN,PICK-UP 81-87 LUV 81-87 ES CON GOMA,,"$1,000.00","$1,100.00","$1,200.00",3,,3,CITSA,CHEVROLET,PARABRISAS
DW01024GBN,"FIREBIRD, TRANS AM, CAMARO 87-92",$721.00,"$1,400.00","$1,500.00","$1,600.00",5,,5,CITSA,CHEVROLET,PARABRISAS
