CODIGO,NOMBRE,DESCRIPCION,COMPRA,MAYOREO,LLEVAR,COLOCADO,EXISTENCIAS,CANT_MIN,TIPO_MED,PROVEEDOR,CATEGORIA,MARCA1,MODELO1,ANIO1,MARCA2,MODELO2,ANIO2,MARCA3,MODELO3,ANIO3,MARCA4,MODELO4,ANIO4,MARCA5,MODELO5,ANIO5
017-2316-34,MANIJA INTERIOR,4P DELANTERA/TRASERA IZQUIERDA NEGRO PLASTICO,80,100,120,220,10,0,PZA,RADEC,MANIJAS,SUZUKI,VITARA,89-98,SUZUKI,SIDEKICK, 89-98,CHEVROLET,GEO TRACKER, 89-98,CHEVROLET,SEDAN, 89-98,CHEVROLET,TRACKER,89-98
DW00971GBN,PARABRISAS,970,,"$1,200.00","$1,400.00","$1,600.00",2,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,ASTRO,98-05,CHEVROLET,ZAFARI,98-05,,,,,,,,,
DW01443GTN,PARABRISAS,SD/HB 2 Y 4 PTAS,,"$1,090.00","$1,240.00","$1,390.00",5,0,ZA,CRINAMEX,PARABRISAS,CHEVROLET,ASTRA,2001-2006,,,,,,,,,,,,
DW01695GBN,PARABRISAS,,,"$1,170.00","$1,240.00","$1,450.00",,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,AVEO SEDAN,2006-2012,CHEVROLET,AVEO SEDAN HATCHBACK,,,,,,,,,,
DW02076GBN,PARABRISAS,4PTS,,"$1,350.00","$1,450.00","$1,550.00",5,0,PZA,CITSA,PARABRISAS,CHEvrOLET,AVEO SEDAN,2006-2012,CHEVROLET,AVEO SEDAN HATCHBACK,dic-17,,,,,,,,,
DW02477GTN,PARABRISAS,4 PTS,,"$1,720.00","$1,870.00","$2,100.00",4,0,PZA,CITSA,PARABRISAS,CHEVROLET,AVEO,2019-2020,CHEVROLET,SEDAN,,,,,,,,,,
DW01402GBY,PARABRISAS,4PTS,,"$2,670.00","$2,720.00","$2,970.00",,0,PZA,CITSA,PARABRISAS,CHEVROLET,AZTEK,2001-2006,,,,,,,,,,,,
DW01712GTN,PARABRISAS,4 PUERTAS,,"$1,400.00","$1,550.00","$1,700.00",3,0,PZA,,PARABRISAS,CHEVROLET,ACADIA,2007-2011,,,,,,,,,,,,
DW01761GTN,PARABRISAS,4PTS,,"$1,550.00","$1,700.00","$1,850.00",5,0,PZA,CITSA,paraBRISAS,CHEVROLET,CAPTIVA SPOR,2008-2016,,,,,,,,,,,,
DWCAPGTN,PARABRISAS,4 PTS,,"$2,100.00","$2,200.00","$2,500.00",1,0,PZA,,,,CAPTIVA,2021-2022,SEDAN,2021-2022,,,,,,,,,,
DW01074 GBN,PARABRISAS,2PTS,vfvt,$900.00,"$1,000.00","$1,100.00",7,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,CAVALIER,90-94,,,,,,,,,,,,
FW001021    ,PARABRISAS,4PTS,,"$1,250.00","$1,350.00","$1,450.00",4,0,PZA,CRIN/XIN,PARABRISAS,CHEVROLET,CAVALIER,90-94,,,,,,,,,,,,
DW01269 GBY,PARABRISAS,2 PTS,,"$1,800.00","$1,900.00","$2,100.00",1,0,PZA,CRIN/XIN,PARABRISAS,CHEVROLET,CAVALIER,95-00,CHEVROLET,SUNFIRE,95-00,,,,,,,,,
DW01270GBN,PARABRISAS,4PTS,,"$1,900.00","$2,000.00","$2,200.00",2,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,CAVALIER,95-00,CHEVROLET,SUNFIRE,95-00,,,,,,,,,
DW01192 GTY,PARABRISAS,2PTS,,"$1,950.00","$2,000.00","$2,250.00",5,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,CAVALIER,95-00,CHEVROLET,SUNFIRE,,,,,,,,,,
DW00842GBN,PARABRISAS,2 PTAS. C/ANTENA  DW00843,$585.00,"$1,200.00","$1,400.00","$1,600.00",3,0,PZA,CITSA,PARABRISAS,CHEVROLET,CHEVY NOVA,75-78,,,,,,,,,,,,
DW00844GBN,PARABRISAS,4 PTAS. C/ANTENA  DW00845,,"$1,200.00","$1,400.00","$1,600.00",3,0,PZA,CITSA,PARABRISAS,CHEVROLET,CHEVY NOVA,75-78,,,,,,,,,,,,
FW00779 GBN,PARABRISAS,CHEVY SWIN/JOY/MONZA/WAGON 2/4 PTAS 94-08,$560.00,$910.00,"$1,030.00","$1,150.00",5,0,PZA,CITSA,PARABRISAS,CHEVROLET,,94-08,,,,,,,,,,,,
FW00779CLN,PARABRISAS,CHEVY SWIN/JOY/MONZA/WAGON 2/4 PTAS 94-08,,$560.00,$620.00,$900.00,,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,,94-08,,,,,,,,,,,,
DW00975GTN,PARABRISAS,CHEVY NOVA 4PTAS HB 85-88,,$850.00,$930.00,"$1,180.00",,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,,85-88,,,,,,,,,,,,
DW00763GBN,PARABRISAS,CHEVROLET VAN 70-75 (CON GOMA) DW00852,$632.00,"$1,130.00","$1,210.00","$1,550.00",,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,,70-75,,,,,,,,,,,,
DW00898GBN,PARABRISAS,CITATION I/II 2/4 PTAS 84-89,,$910.00,$960.00,"$1,200.00",,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,,84-89,,,,,,,,,,,,
DW00871GBN,PARABRISAS,CAPRICE C/ANTENA77-81,$658.00,"$1,000.00","$1,100.00","$1,200.00",1,0,PZA,CITSA,PARABRISAS,CHEVROLET,,77-81,,,,,,,,,,,,
DW01533GBY,PARABRISAS,COLORADO 4 Pts 04-12,,"$1,300.00","$1,380.00",      ,,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,,2004-2012,,,,,,,,,,,,
,PARABRISAS,COLORADO ESQUINAS SUPERIORES REDONDAS,,,,,1,0,PZA,KRISOLMEX,PARABRISAS,CHEVROLET,,,,,,,,,,,,,,
DW01502GBN,PARABRISAS,SOMBREADO,$700.00,"$1,050.00","$1,170.00","$1,320.00",1,0,PZA,CRINAMEX,PARABRISAS,CHEVROLET,CORSA,02-ago,CHEVROLET,TORNADO,06-nov,CHEVROLET,CORSA HATCHBACK,,,,,,,
DW01834GBN,,CRUZE SEDAN /LIMITED 4 PTAS 10-16,,"$1,700.00","$1,780.00","$2,030.00",,0,,CRINAMEX,PARABRISAS,CHEVROLET,,2010-2016,,,,,,,,,,,,
DW01005GBN ,,CUTLAS 4 PTS SD/WAGON/ 82-89,,"$1,000.00","$1,100.00","$1,200.00",4,0,,CRINAMEX,PARABRISAS,CHEVROLET,,82-89,,,,,,,,,,,,
DW00790CLN,,DINA CAMION PICK UP Y DOBLE CABINA 69-75,,"$1,170.00","$1,250.00","$1,450.00",,0,,CRINAMEX,PARABRISAS,CHEVROLET,,69-75,,,,,,,,,,,,
DW01265GBN,,EXPRESS VAN 96-11,$877.00,"$1,580.00","$1,730.00","$1,930.00",4,0,,CITSA,PARABRISAS,CHEVROLET,,96-11,,,,,,,,,,,,
DW01583GBN,,EQUINOX 05-09 4 PTS,,"$1,500.00","$1,600.00","$1,700.00",4,0,,CITSA,PARABRISAS,CHEVROLET,,2005-09,,,,,,,,,,,,
DW00853GBN,,G-SERIES VAN 70-80 (CON GOMA),,"$1,150.00","$1,250.00","$1,400.00",,,,,PARABRISAS,CHEVROLET,,70-80,,,,,,,,,,,,
DW00925GTN,,G-SERIE VAN 81-89 (PEGADO),,$920.00,"$1,020.00","$1,250.00",,,,,PARABRISAS,CHEVROLET,,81-89,,,,,,,,,,,,
DW01288GBN,,GRAND PRIX 2 PTAS 97-02,,"$1,550.00","$1,650.00","$1,900.00",,,,,PARABRISAS,CHEVROLET,,97-02,,,,,,,,,,,,
DW01330GBN,,GRAND AM 2/4 PTS 99-05,,"$1,450.00","$1,550.00","$1,800.00",,,,,PARABRISAS,CHEVROLET,,99-05,,,,,,,,,,,,
FW00422GTN,,PICK-UP 81-87 LUV 81-87 ES CON GOMA,,"$1,000.00","$1,100.00","$1,200.00",3,,,CITSA,PARABRISAS,CHEVROLET,,"81-87, 81-87",,,,,,,,,,,,
DW01024GBN,,"FIREBIRD, TRANS AM, CAMARO 87-92",$721.00,"$1,400.00","$1,500.00","$1,600.00",5,,,CITSA,PARABRISAS,CHEVROLET,,87-92,,,,,,,,,,,,
DW01024GBN,,"FIREBIRD, TRANS AM, CAMARO 87-93",,"$1,300.00","$1,400.00","$1,500.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,87-93,,,,,,,,,,,,
DW01061GBN,,"LUMINA SILHUOETTE, TRANS SPORT 90-96","$1,029.00","$1,900.00","$2,100.00","$2,300.00",3,,,CITSA,PARABRISAS,CHEVROLET,,90-96,,,,,,,,,,,,
DW01637GBY,,HHR 4 PTAS HB 06-11,,"$2,000.00","$2,100.00","$2,300.00",8,,,CRINAMEX,PARABRISAS,CHEVROLET,,2006-2011,,,,,,,,,,,,
DW01486GTY,,HUMMER H2 4 PTAS03-10,,"$2,230.00","$2,330.00","$2,600.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,2003-2010,,,,,,,,,,,,
DW01626GBY,,HUMMER H3 06-10,,"$1,940.00","$2,040.00","$2,300.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,2006-2010,,,,,,,,,,,,
DW01377GBY,,IMPALAS 4 PTAS SEDAN 00-05,,"$1,910.00","$2,010.00","$2,250.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,00-05,,,,,,,,,,,,
DW01640GTY,,IMPALA 4 PUERTAS 08,"$1,739.00","$2,100.00","$2,200.00","$2,450.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,,,,,,,,,,,,,
FW02062GBN,,ISUZU RODEO/ AMIGO 4 PTAS 98-05,,"$1,300.00","$1,400.00","$1,650.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,98-05,,,,,,,,,,,,
FW02241GTN,,"JAGUAR VANDEN PLAS, XJ8L, XJ8, XJR 4 PTS 98-03",,,,,1,,,CRINAMEX,PARABRISAS,CHEVROLET,,98-03,,,,,,,,,,,,
FW00594GTN,,LUV PICK  UP /DOBLE CABINA 94-06 (ISUZU RODEO 2/4 PTAS 88-97),,$990.00,"$1,130.00","$1,250.00",5,,,CRINAMEX,PARABRISAS,CHEVROLET,,"94-06, 88-97",,,,,,,,,,,,
DW01699GBN,,MATIZ HB 4 PTAS 04-05,,"$1,570.00","$1,670.00","$1,920.00",,,,CRINAMEX,PARABRISAS,CHEVROLET,,45416,,,,,,,,,,,,
DW01671GBN,,MATIZ  HB 4 PTAS 06-15,,"$1,250.00","$1,350.00","$1,450.00",3,,,CRINAMEX,PARABRISAS,CHEVROLET,,42156,,,,,,,,,,,,
